,cep,up_lat,up_long
231,01444000,-28.4640568,-49.0347531
232,01436000,-5.098712,-42.7844953
233,01447000,-9.4025055,-38.2374514
234,01439000,-5.1072186,-42.787589
235,01431000,-22.847633899999998,-43.248052597764506
236,01437000,-22.9064856,-43.1760789
237,01526000,-23.5652471,-46.6314261
238,01509000,-23.5695187,-46.6337194
239,01504000,-23.5857686,-46.6354222
240,01536000,-23.5759433,-46.6250123
241,01535000,-23.5758533,-46.6261596
242,01511000,-23.5534514,-46.6332639
243,01534000,-23.5634109,-46.6238037
244,01514000,-23.5545458,-46.6284016
245,01529000,-22.8287066,-43.1711277
246,01539000,-23.5726619,-46.6214021
247,01532000,-29.6837192,-51.1381596
248,01542000,-23.5709561,-46.6198669
249,01548000,-23.5797397,-46.6141165
250,01543000,-23.5753881,-46.6222335
251,01544000,-23.5769475,-46.6245989
252,01546000,-23.5796744,-46.6249522
253,01523000,-23.5636891,-46.6191964
254,01506000,-22.8707806,-43.3626289
255,01518000,-23.5605241,-46.623511
256,01510000,-3.1214854,-60.034035
257,01537000,-23.5634108,-46.6208049
258,01531000,-23.2232777,-45.9147176
259,01549000,-23.5767624,-46.6176798
260,01533000,-23.5696712,-46.6386795
261,01525000,-22.8222,-45.1958806
262,01520000,-19.9622953,-43.9710986
263,01550000,-23.5741799,-46.6154985
264,01503000,38.7247757,-9.1495223
265,01541000,-23.5688218,-46.6187775
266,01545000,-21.4740392,-46.9887628
267,01522000,-23.5599904,-46.6159075
268,01508000,-25.3630293,-49.1875296
269,01519000,-23.5622441,-46.6216806
270,01547000,-23.5820846,-46.6238379
271,01538000,-23.5634108,-46.6208049
272,01501000,-23.55203015,-46.63466848829752
273,01521000,-23.5601249,-46.6248633
274,01530000,-23.5711912,-46.6294993
275,01505000,-20.3380353,-40.418032
276,01502000,38.7247757,-9.1495223
277,01551000,-23.5676332,-46.6137766
278,01540000,-23.5676498,-46.6229699
279,01528000,-23.5649282,-46.6254993
280,01513000,-21.1286439,-48.9803642
281,01527000,-23.5616082,-46.6260516
282,01524000,-23.7032358,-46.5857159
283,01507000,-23.5581133,-46.6308648
284,01512000,-23.5541514,-46.6303592
285,01552000,-3.0814136,-60.0433946
286,01553000,-19.9297261,-43.9832938
287,01516000,-23.5575713,-46.6177702
288,01517000,-23.5596644,-46.6233215
289,02019000,-23.4985516,-46.628582
290,02069000,-23.5052463,-46.6132701
291,02067000,-23.5065585,-46.6049388
292,02020000,-19.9450759,-44.0304091
293,02075000,-23.5058036,-46.6033175
294,02012000,-23.51442395,-46.6294568502674
295,02076000,-23.5066468,-46.5995246
296,02035000,-23.5039345,-46.6223833
297,02034000,-22.8515283,-43.3493474
298,02021000,-23.4979068,-46.6341949
299,02080000,-19.8803934,-43.9275947
300,02066000,-23.5056432,-46.6083036
301,02085000,-23.4952623,-46.6119425
302,02030000,-23.2962499,-51.200386
303,02064000,-23.5163813,-46.6007082
304,02029000,-23.5079472,-46.6153872
305,02060000,-23.5195533,-46.5977763
306,02072000,-23.499366,-46.5985913
307,02017000,-22.9267537,-43.2635737
308,02018000,-23.4979655,-46.6275697
309,02043000,-19.8408232,-43.9154831
310,02074000,-9.6677561,-35.7342013
311,02038000,-23.4977371,-46.6227016
312,02016000,-28.7226739,-51.9317776
313,02040000,-23.4915862,-46.6211881
314,02056000,-23.5116865,-46.6044889
315,02051000,-23.5121231,-46.6087058
316,02041000,-19.825748,-43.9692901
317,02039000,-23.4941962,-46.621449
318,02073000,-27.2307308,-49.7302946
319,02082000,-23.4949791,-46.6088042
320,02033000,-23.4954359,-46.6107416
321,02013000,-23.5033896,-46.6357261
322,02079000,-23.4997061,-46.6012097
323,02037000,-23.4998939,-46.62343
324,02083000,-23.4957269,-46.5962095
325,02068000,-23.5043935,-46.6115759
326,02071000,-19.8440148,-43.950339
327,02047000,-23.5168839,-46.6202326
328,02078000,-23.5049773,-46.5964562
329,02044000,-23.496898299999998,-46.620219856398805
330,02084000,-23.4966288,-46.6015043
331,02055000,-23.5152743,-46.6054143
332,02042000,-23.4894184,-46.6190001
333,02045000,-14.4265212,-41.4537576
334,02036000,-23.5030815,-46.6212881
335,02010000,-30.002415,-51.2071182
336,02081000,-23.4952216,-46.6108093
337,02050000,-23.5131842,-46.6104898
338,02052000,-23.5187807,-46.6109354
339,02031000,-23.2962499,-51.200386
340,02028000,-23.5074898,-46.6179601
341,02065000,-23.5161439,-46.6085102
342,02077000,-23.5015878,-46.5973353
343,02011000,-30.002415,-51.2071182
344,02049000,-23.5082717,-46.6155901
345,02032000,-23.5116051,-46.6239226
346,02053000,-23.5148831,-46.6037327
347,02133000,-23.4992011,-46.584833
348,02167000,-23.5172892,-46.5800005
349,02130000,-23.507991150000002,-46.585004037650805
350,02188000,-23.51028895,-46.564985323614195
351,02152000,-23.4995526,-46.5728261
352,02138000,-23.489406549999998,-46.57440778679948
353,02134000,-22.8825754,-43.4176293
